Timestamp,ChunkStart,ChunkEnd,ChunkSize,ServerIp,ProcessingTime,TotalTime,PasswordFound,Granularity
2025-05-27 20:14:44,1,1,0,192.168.0.13,56,90,True,1
2025-05-27 20:14:44,2,2,0,192.168.0.12,24,94,True,1
2025-05-27 20:14:44,3,3,0,192.168.0.13,42,61,True,1
2025-05-27 20:14:44,4,4,0,192.168.0.12,26,64,True,1
2025-05-27 20:14:44,5,5,0,192.168.0.13,54,80,True,1
2025-05-27 20:14:44,6,6,0,192.168.0.12,11,63,True,1
2025-05-27 20:14:44,7,7,0,192.168.0.13,44,64,True,1
2025-05-27 20:14:44,8,8,0,192.168.0.12,0,39,True,1
2025-05-27 20:14:45,10,10,0,192.168.0.12,2,36,True,1
2025-05-27 20:14:45,9,9,0,192.168.0.13,45,68,True,1
2025-05-27 20:14:45,11,11,0,192.168.0.13,42,62,True,1
2025-05-27 20:14:45,12,12,0,192.168.0.12,24,55,True,1
2025-05-27 20:14:45,13,13,0,192.168.0.13,43,63,True,1
2025-05-27 20:14:45,14,14,0,192.168.0.12,38,84,True,1
2025-05-27 20:14:45,15,15,0,192.168.0.13,42,60,True,1
2025-05-27 20:14:45,16,16,0,192.168.0.12,1,35,True,1
2025-05-27 20:14:45,17,17,0,192.168.0.13,41,59,True,1
2025-05-27 20:14:45,18,18,0,192.168.0.12,1,44,True,1
2025-05-27 20:14:45,19,19,0,192.168.0.13,59,83,True,1
2025-05-27 20:14:45,20,20,0,192.168.0.12,0,42,True,1
2025-05-27 20:14:45,22,22,0,192.168.0.12,0,33,True,1
2025-05-27 20:14:45,21,21,0,192.168.0.13,44,63,True,1
2025-05-27 20:14:45,23,23,0,192.168.0.13,45,64,True,1
2025-05-27 20:14:45,24,24,0,192.168.0.12,10,48,True,1
2025-05-27 20:14:45,26,26,0,192.168.0.12,1,33,True,1
2025-05-27 20:14:45,25,25,0,192.168.0.13,43,63,True,1
2025-05-27 20:14:45,28,28,0,192.168.0.12,0,36,True,1
2025-05-27 20:14:45,27,27,0,192.168.0.13,48,68,True,1
2025-05-27 20:14:46,30,30,0,192.168.0.12,0,41,True,1
2025-05-27 20:14:46,29,29,0,192.168.0.13,64,91,True,1
2025-05-27 20:14:46,31,31,0,192.168.0.12,0,31,True,1
2025-05-27 20:14:46,32,32,0,192.168.0.13,85,116,True,1
2025-05-27 20:14:46,33,33,0,192.168.0.12,0,53,True,1
2025-05-27 20:14:46,35,35,0,192.168.0.12,0,49,True,1
2025-05-27 20:14:46,34,34,0,192.168.0.13,79,107,True,1
2025-05-27 20:14:46,36,36,0,192.168.0.12,0,45,True,1
2025-05-27 20:14:46,37,37,0,192.168.0.13,52,84,True,1
2025-05-27 20:14:46,38,38,0,192.168.0.12,0,43,True,1
2025-05-27 20:14:46,39,39,0,192.168.0.13,48,71,True,1
